id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
com.fsck.k9.fragment.MessageListFragment,Module,com.fsck.k9.fragment.MessageListFragment,MessageListFragment,#cccccc,transit,
com.fsck.k9.activity.FolderList$FolderListHandler,Module,com.fsck.k9.activity.FolderList$FolderListHandler,FolderListHandler,#cccccc,outbound,
com.fsck.k9.widget.list.MessageListRemoteViewFactory,Module,com.fsck.k9.widget.list.MessageListRemoteViewFactory,MessageListRemoteViewFactory,#cccccc,outbound,
com.fsck.k9.search.LocalSearch,Module,com.fsck.k9.search.LocalSearch,LocalSearch,#cccccc,inbound,
com.fsck.k9.activity.ConfirmationDialog,Module,com.fsck.k9.activity.ConfirmationDialog,ConfirmationDialog,#cccccc,hidden,
com.fsck.k9.service.StorageReceiver,Module,com.fsck.k9.service.StorageReceiver,StorageReceiver,#cccccc,outbound,
com.fsck.k9.mailstore.util.FlowedMessageUtils,Module,com.fsck.k9.mailstore.util.FlowedMessageUtils,FlowedMessageUtils,#cccccc,inbound,
com.fsck.k9.view.RecipientSelectView$Recipient,Module,com.fsck.k9.view.RecipientSelectView$Recipient,Recipient,#cccccc,inbound,
com.fsck.k9.activity.setup.SpinnerOption,Module,com.fsck.k9.activity.setup.SpinnerOption,SpinnerOption,#cccccc,,
com.fsck.k9.preferences.FolderSettings,Module,com.fsck.k9.preferences.FolderSettings,FolderSettings,#cccccc,hidden,
com.fsck.k9.mailstore.migrations.MigrationTo56,Module,com.fsck.k9.mailstore.migrations.MigrationTo56,MigrationTo56,#cccccc,hidden,
com.fsck.k9.controller.MessagingListener,Module,com.fsck.k9.controller.MessagingListener,MessagingListener,#cccccc,hidden,
com.fsck.k9.mailstore.migrations.MigrationTo43,Module,com.fsck.k9.mailstore.migrations.MigrationTo43,MigrationTo43,#cccccc,outbound,
com.fsck.k9.activity.Accounts$PasswordPromptDialog,Module,com.fsck.k9.activity.Accounts$PasswordPromptDialog,PasswordPromptDialog,#cccccc,outbound,
com.fsck.k9.activity.setup.AccountSetupIncoming,Module,com.fsck.k9.activity.setup.AccountSetupIncoming,AccountSetupIncoming,#cccccc,outbound,
com.fsck.k9.activity.compose.PgpEnabledErrorDialog,Module,com.fsck.k9.activity.compose.PgpEnabledErrorDialog,PgpEnabledErrorDialog,#cccccc,outbound,
com.fsck.k9.ui.messageview.MessageContainerView$SavedState,Module,com.fsck.k9.ui.messageview.MessageContainerView$SavedState,SavedState,#cccccc,,
com.fsck.k9.mailstore.StorageManager$SynchronizationAid,Module,com.fsck.k9.mailstore.StorageManager$SynchronizationAid,SynchronizationAid,#cccccc,,
com.fsck.k9.message.QuotedTextMode,Module,com.fsck.k9.message.QuotedTextMode,QuotedTextMode,#cccccc,,
com.fsck.k9.ui.crypto.OpenPgpApiFactory,Module,com.fsck.k9.ui.crypto.OpenPgpApiFactory,OpenPgpApiFactory,#cccccc,hidden,
com.fsck.k9.K9$ApplicationAware,Module,com.fsck.k9.K9$ApplicationAware,ApplicationAware,#cccccc,hidden,
com.fsck.k9.message.extractors.EncryptionDetector,Module,com.fsck.k9.message.extractors.EncryptionDetector,EncryptionDetector,#cccccc,outbound,
com.fsck.k9.message.ComposePgpInlineDecider,Module,com.fsck.k9.message.ComposePgpInlineDecider,ComposePgpInlineDecider,#cccccc,outbound,
com.fsck.k9.ui.messageview.AttachmentViewCallback,Module,com.fsck.k9.ui.messageview.AttachmentViewCallback,AttachmentViewCallback,#cccccc,hidden,
com.fsck.k9.view.MessageCryptoDisplayStatus,Module,com.fsck.k9.view.MessageCryptoDisplayStatus,MessageCryptoDisplayStatus,#cccccc,transit,
com.fsck.k9.helper.Contacts,Module,com.fsck.k9.helper.Contacts,Contacts,#cccccc,inbound,
com.fsck.k9.activity.compose.ComposeCryptoStatus$SendErrorState,Module,com.fsck.k9.activity.compose.ComposeCryptoStatus$SendErrorState,SendErrorState,#cccccc,,
