id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
weka.gui.knowledgeflow.ScatterPlotMatrixPerspective-calls-weka.gui.AbstractPerspective,CALLS,weka.gui.knowledgeflow.ScatterPlotMatrixPerspective,weka.gui.AbstractPerspective,{},compile_time,2,
weka.filters.unsupervised.attribute.PKIDiscretize-calls-weka.core.Utils,CALLS,weka.filters.unsupervised.attribute.PKIDiscretize,weka.core.Utils,{},compile_time,1,
weka.filters.unsupervised.attribute.TimeSeriesTranslate-calls-weka.filters.Filter,CALLS,weka.filters.unsupervised.attribute.TimeSeriesTranslate,weka.filters.Filter,{},compile_time,1,
weka.classifiers.trees.RandomTree-calls-weka.classifiers.AbstractClassifier,CALLS,weka.classifiers.trees.RandomTree,weka.classifiers.AbstractClassifier,{},compile_time,2,
weka.gui.beans.AssociatorCustomizer-calls-weka.gui.beans.Associator,CALLS,weka.gui.beans.AssociatorCustomizer,weka.gui.beans.Associator,{},compile_time,1,
weka.estimators.PoissonEstimator-calls-weka.core.RevisionUtils,CALLS,weka.estimators.PoissonEstimator,weka.core.RevisionUtils,{},compile_time,1,
weka.core.converters.C45Loader-calls-weka.core.Attribute,CALLS,weka.core.converters.C45Loader,weka.core.Attribute,{},compile_time,1,
weka.datagenerators.classifiers.classification.RDG1$RuleList-calls-weka.core.RevisionUtils,CALLS,weka.datagenerators.classifiers.classification.RDG1$RuleList,weka.core.RevisionUtils,{},compile_time,1,
weka.core.xml.XMLInstances-calls-weka.core.RevisionUtils,CALLS,weka.core.xml.XMLInstances,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.bayes.NaiveBayesMultinomialUpdateable-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.lazy.KStar-calls-weka.core.Capabilities,CALLS,weka.classifiers.lazy.KStar,weka.core.Capabilities,{},compile_time,8,
weka.classifiers.meta.Bagging-calls-weka.core.Instance,CALLS,weka.classifiers.meta.Bagging,weka.core.Instance,{},compile_time,1,
weka.classifiers.meta.AdaBoostM1-calls-weka.core.Utils,CALLS,weka.classifiers.meta.AdaBoostM1,weka.core.Utils,{},compile_time,2,
weka.classifiers.meta.RandomizableFilteredClassifier-calls-weka.classifiers.AbstractClassifier,CALLS,weka.classifiers.meta.RandomizableFilteredClassifier,weka.classifiers.AbstractClassifier,{},compile_time,1,
weka.filters.unsupervised.instance.RemoveRange-calls-weka.core.RevisionUtils,CALLS,weka.filters.unsupervised.instance.RemoveRange,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm-calls-weka.core.Utils,CALLS,weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm,weka.core.Utils,{},compile_time,1,
weka.classifiers.functions.neural.LinearUnit-calls-weka.classifiers.functions.neural.NeuralNode,CALLS,weka.classifiers.functions.neural.LinearUnit,weka.classifiers.functions.neural.NeuralNode,{},compile_time,1,
weka.gui.explorer.ClassifierPanel-calls-weka.gui.CostMatrixEditor,CALLS,weka.gui.explorer.ClassifierPanel,weka.gui.CostMatrixEditor,{},compile_time,1,
weka.knowledgeflow.steps.ModelPerformanceChart-calls-weka.knowledgeflow.steps.BaseStep,CALLS,weka.knowledgeflow.steps.ModelPerformanceChart,weka.knowledgeflow.steps.BaseStep,{},compile_time,1,
weka.filters.unsupervised.attribute.ReplaceWithMissingValue-calls-weka.core.RevisionUtils,CALLS,weka.filters.unsupervised.attribute.ReplaceWithMissingValue,weka.core.RevisionUtils,{},compile_time,1,
weka.filters.SimpleStreamFilter-calls-weka.filters.SimpleFilter,CALLS,weka.filters.SimpleStreamFilter,weka.filters.SimpleFilter,{},compile_time,1,
weka.classifiers.bayes.net.search.global.K2-calls-weka.core.TechnicalInformation,CALLS,weka.classifiers.bayes.net.search.global.K2,weka.core.TechnicalInformation,{},compile_time,12,
