id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
86a7d2caa8dd1df515fec1edaa9f202b,CONTAINS,com.fsck.k9.activity.misc,com.fsck.k9.activity.misc.Attachment,{},,,
c29d749418fde4560010a23a9a360668,CONTAINS,com.fsck.k9.fragment,com.fsck.k9.fragment.MessageListFragment$MessageListActivityListener,{},,,
6db5e43dca0c4251f203df9cac56d8b5,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.IdentityHelper,{},,,
4206d34e678696520d539790102429fb,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.ThemeUtils,{},,,
55039a2e36bc6117fa3f6ce74430a93e,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.Settings$V,{},,,
01a49639b5abc37a337a9ca462b4ce99,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.ActivityListener,{},,,
4d5c4d3832e010f9dad6350e093b0567,CONTAINS,com.fsck.k9,com.fsck.k9.Account$Expunge,{},,,
3490e44b5b1d03d3e88439dc8beda925,CONTAINS,com.fsck.k9.activity.compose,com.fsck.k9.activity.compose.IdentityAdapter$IdentityHolder,{},,,
b08240b5ce72985e25aa498c3eb98fa1,CONTAINS,com.fsck.k9.autocrypt,com.fsck.k9.autocrypt.AutocryptHeader,{},,,
30e32522be208cdcf4f9ed99cc3881e9,CONTAINS,com.fsck.k9.message.html,com.fsck.k9.message.html.HtmlConverter$ListTagHandler,{},,,
6da01d5e471975292d060c4ae02548f1,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.MessageReferenceHelper,{},,,
19287d5288aa591683b8d2ab70b57f67,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.MessageTitleView,{},,,
4efffd34464fe96182bc57e9b853723f,CONTAINS,com.fsck.k9.activity.compose,com.fsck.k9.activity.compose.AttachmentPresenter$AttachmentsChangedListener,{},,,
d5520e8c1e48e9dd8b6c965e7fb5591b,CONTAINS,com.fsck.k9.activity.setup,com.fsck.k9.activity.setup.AccountSetupIncoming,{},,,
2593aec8ef8e6c563010f74ecd595114,CONTAINS,com.fsck.k9.notification,com.fsck.k9.notification.DeviceNotifications,{},,,
3aee70a6d5ddd9d2436b116daeff4324,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.MessageProvider$PreviewExtractor,{},,,
d0c00322be0ded74837114ca4f2e6d4f,CONTAINS,com.fsck.k9.notification,com.fsck.k9.notification.BaseNotifications,{},,,
b704125bc921ede86c28785f9153de55,CONTAINS,com.fsck.k9.activity.compose,com.fsck.k9.activity.compose.IdentityAdapter$IdentityContainer,{},,,
974f38a5af4b576e84fcb7c865848556,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.DeferredFileBody,{},,,
9f07940bcbbb764fef59572de6d89bb9,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.Storage,{},,,
739cd4ee382265550e375276d5eb354b,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.ClientCertificateSpinner$OnClientCertificateChangedListener,{},,,
96156fa04f7dccec2fd455ba029bf188,CONTAINS,com.fsck.k9.message.html,com.fsck.k9.message.html.HtmlProcessor,{},,,
6c3b7d0b8185532cb73ed95a1186b469,CONTAINS,com.fsck.k9.fragment,com.fsck.k9.fragment.ProgressDialogFragment,{},,,
7c033179b5bba44c15b6d5443b3412ec,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.MessageProvider$MonitoredCursor,{},,,
8e8be50e67837ef83a97d9f7fb4b2a7a,CONTAINS,com.fsck.k9.activity.compose,com.fsck.k9.activity.compose.RecipientMvpView$CryptoSpecialModeDisplayType,{},,,
8ec6fdc9dd71a0b6d2ec537b8b6c6ec1,CONTAINS,com.fsck.k9.notification,com.fsck.k9.notification.AuthenticationErrorNotifications,{},,,
b90e59f567dc3160c5493aff5a517df3,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.MergeCursorWithUniqueId,{},,,
35a65750a0572e49f7f587e78d810278,CONTAINS,com.fsck.k9.ui.messageview,com.fsck.k9.ui.messageview.AttachmentView,{},,,
46774f1c4df02f53fbf2e62032511016,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.ViewSwitcher$OnSwitchCompleteListener,{},,,
ce5931164b6d3021c8d2e116ab298930,CONTAINS,com.fsck.k9.message.signature,com.fsck.k9.message.signature.HtmlSignatureRemover,{},,,
0d5212578c61167955e450da1490239d,CONTAINS,com.fsck.k9.fragment,com.fsck.k9.fragment.MessageListFragment$FolderOperation,{},,,
b0e5af764c85993e7da511bf5a4ac0bc,CONTAINS,com.fsck.k9.search,com.fsck.k9.search.SearchSpecification$SearchField,{},,,
0936c881aabc154da8019dbcbb159e2b,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.ReplyToParser$ReplyToAddresses,{},,,
71115bbb6d4ce4b9ae42c3a913c43e9e,CONTAINS,com.fsck.k9.cache,com.fsck.k9.cache.TemporaryAttachmentStore,{},,,
9d21e63b411f0ca2f58cedda64d32725,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.NonLockingScrollView,{},,,
01d7d62bfe1bb31503a5bbf756922311,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.Settings$IntegerRangeSetting,{},,,
de93b8e87c14033a76f0d494885232e8,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.StorageEditor,{},,,
9b12488d8f11aaf560ed54b7f5ce3483,CONTAINS,com.fsck.k9.activity.setup,com.fsck.k9.activity.setup.FontSizeSettings,{},,,
8f2effe99ccf7be60c03527daec55d5e,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.SettingsImporter$ImportedFolder,{},,,
fb6aedf69e1da62767e4b9122959137e,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.MessageProvider$AccountColumns,{},,,
dd8997259265aa2c2e524ac3114c62f2,CONTAINS,com.fsck.k9.power,com.fsck.k9.power.DeviceIdleManager$RealDeviceIdleManager,{},,,
60f6fe743662b3e745b3f0bcff2210d3,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.TempFileBody,{},,,
31dda2cb36bca321949451145dd459d6,CONTAINS,com.fsck.k9.message.extractors,com.fsck.k9.message.extractors.EncryptionDetector,{},,,
4e82619e05e101aa4ad1d95045e44b4f,CONTAINS,com.fsck.k9.ui.messageview,com.fsck.k9.ui.messageview.MessageContainerView$OnRenderingFinishedListener,{},,,
f8c40159c13811ac8e70a92c4bd81e8c,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.AttachmentViewInfo,{},,,
d14d2d2c3d24eda9fffab583ef2c1746,CONTAINS,com.fsck.k9.ui,com.fsck.k9.ui.ContactBadge$QueryHandler,{},,,
81aef1c3bac2bfaad3144956abde846d,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.RetainFragment,{},,,
388fc3b49e3844ae6994c20b82d829bf,CONTAINS,com.fsck.k9.notification,com.fsck.k9.notification.RemoveNotificationResult,{},,,
3b794c68cc9f0123caf0c044af867f29,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.AccountSettings$RingtoneSetting,{},,,
6b57592181d6a2941a8c47fa371c235e,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.MessageInfoHolder,{},,,
9b7178b80c5bddd1be7fee7533be84c0,CONTAINS,com.fsck.k9.cache,com.fsck.k9.cache.EmailProviderCache,{},,,
bab968c7ae1dff9a96dc0f0a364166fc,CONTAINS,com.fsck.k9,com.fsck.k9.AccountStats,{},,,
fbadb650ec5b2c087fcab1e7d9f31082,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.LockableDatabase$WrappedException,{},,,
94f153db0b3c168b57f87947c8b2b235,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.Accounts$ACCOUNT_LOCATION,{},,,
801cc6730b386dd6a930b8817fe187cf,CONTAINS,com.fsck.k9.fragment,com.fsck.k9.fragment.AttachmentDownloadDialogFragment$AttachmentDownloadCancelListener,{},,,
4de9d31f41b9d27af8806c1140aae8b3,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.StorageManager$InternalStorageProvider,{},,,
cb3f4e2c75c3823782a1852875de0ff8,CONTAINS,com.fsck.k9.fragment,com.fsck.k9.fragment.MLFProjectionInfo,{},,,
b47dcc971f67c8f47f06e5195622b78f,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.MessageProvider$SendDateExtractor,{},,,
b3879700d00bbcb033890960eb842aef,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.MessageProvider$ThrottlingQueryHandler,{},,,
ee1efd312e6f24b03462a9569ac89d02,CONTAINS,com.fsck.k9.message,com.fsck.k9.message.AutocryptStatusInteractor$RecipientAutocryptStatus,{},,,
7d7151fb5d45f4afd3228f377c5091e4,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.GlobalSettings$SettingsUpgraderV31,{},,,
8a28cee16ca6958a4e55e6d145c2e4ec,CONTAINS,com.fsck.k9.message.html,com.fsck.k9.message.html.EthereumUriParser,{},,,
a515fb500fb0de49002add47e0566fb1,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.StoreSchemaDefinition$RealMigrationsHelper,{},,,
a1d67e7140776c9e28cbb14ac7291921,CONTAINS,com.fsck.k9.message,com.fsck.k9.message.SimpleMessageBuilder,{},,,
7e19118d5ec259cd690254fff829f2a5,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.ParcelableUtil,{},,,
43331a12583685dd4e54460d8a61bcd9,CONTAINS,com.fsck.k9.controller,com.fsck.k9.controller.UnavailableAccountException,{},,,
f7c1f879c5430d7a76d63bc81b093f6e,CONTAINS,com.fsck.k9.helper.jsoup,com.fsck.k9.helper.jsoup.NodeFilter,{},,,
d1a967e613058c8f865b978c65df20b5,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.GlobalSettings$SubThemeSetting,{},,,
fba5f1e69699f77e2355efcde8dca89e,CONTAINS,com.fsck.k9.mailstore,com.fsck.k9.mailstore.LocalMimeMessage,{},,,
fa1a21bb0c1fe16d243b78f7032f8f93,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.FolderList$FolderListHandler,{},,,
c5cc86193d6de127b084dd79835472a3,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.Settings$StringSetting,{},,,
e80d92bb349bcc3c663cb70c000a04b6,CONTAINS,com.fsck.k9.notification,com.fsck.k9.notification.NotificationHolder,{},,,
b4c709d1826606916a222f93c6b31830,CONTAINS,com.fsck.k9.helper,com.fsck.k9.helper.UrlEncodingHelper,{},,,
acfa5d7b2f9f09ced1576eb9f5fa810b,CONTAINS,com.fsck.k9.activity.setup,com.fsck.k9.activity.setup.OpenPgpAppSelectDialog$ApgDeprecationDialogFragment,{},,,
75b83cce8657df35f326a1c82a95cc14,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.K9ActivityCommon,{},,,
314f0fad344b2b4da69f82e7fdac5968,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.EmailProvider$InternalMessageColumns,{},,,
43e42eee1cc846e48fd1460477139e7a,CONTAINS,com.fsck.k9.activity,com.fsck.k9.activity.MessageReference,{},,,
0e36a85b3e4332e9f328fc8cd4ad1dd3,CONTAINS,com.fsck.k9.preferences,com.fsck.k9.preferences.Settings,{},,,
8efe97e9d93204b11b3063d1a361756b,CONTAINS,com.fsck.k9.view,com.fsck.k9.view.FoldableLinearLayout$SavedState,{},,,
a0ca0174a0dc04a5309b3ae30bc95497,CONTAINS,com.fsck.k9.service,com.fsck.k9.service.CoreReceiver,{},,,
eeed5b399a35e35d94c0a536cd6ae230,CONTAINS,com.fsck.k9.activity.compose,com.fsck.k9.activity.compose.ComposeCryptoStatus,{},,,
d2269a0591ab40f13dbcecba96e68e43,CONTAINS,com.fsck.k9.helper.jsoup,com.fsck.k9.helper.jsoup.AdvancedNodeTraversor,{},,,
