id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
CH.ifa.draw.util.StorableOutput,Module,CH.ifa.draw.util.StorableOutput,StorableOutput,#cccccc,inbound,
CH.ifa.draw.figures.PolyLineHandle,Module,CH.ifa.draw.figures.PolyLineHandle,PolyLineHandle,#cccccc,outbound,
CH.ifa.draw.figures.InsertImageCommand,Module,CH.ifa.draw.figures.InsertImageCommand,InsertImageCommand,#cccccc,outbound,
CH.ifa.draw.framework.Locator,Module,CH.ifa.draw.framework.Locator,Locator,#cccccc,inbound,
CH.ifa.draw.util.StorableInput,Module,CH.ifa.draw.util.StorableInput,StorableInput,#cccccc,inbound,
CH.ifa.draw.util.Geom,Module,CH.ifa.draw.util.Geom,Geom,#cccccc,inbound,
CH.ifa.draw.util.PaletteButton,Module,CH.ifa.draw.util.PaletteButton,PaletteButton,#cccccc,inbound,
CH.ifa.draw.util.ReverseVectorEnumerator,Module,CH.ifa.draw.util.ReverseVectorEnumerator,ReverseVectorEnumerator,#cccccc,inbound,
CH.ifa.draw.util.Command,Module,CH.ifa.draw.util.Command,Command,#cccccc,inbound,
CH.ifa.draw.figures.ElbowTextLocator,Module,CH.ifa.draw.figures.ElbowTextLocator,ElbowTextLocator,#cccccc,outbound,
CH.ifa.draw.figures.RoundRectangleFigure,Module,CH.ifa.draw.figures.RoundRectangleFigure,RoundRectangleFigure,#cccccc,outbound,
CH.ifa.draw.util.CommandButton,Module,CH.ifa.draw.util.CommandButton,CommandButton,#cccccc,hidden,
CH.ifa.draw.standard.ChangeConnectionStartHandle,Module,CH.ifa.draw.standard.ChangeConnectionStartHandle,ChangeConnectionStartHandle,#cccccc,outbound,
CH.ifa.draw.figures.ScribbleTool,Module,CH.ifa.draw.figures.ScribbleTool,ScribbleTool,#cccccc,outbound,
CH.ifa.draw.framework.Figure,Module,CH.ifa.draw.framework.Figure,Figure,#cccccc,inbound,
CH.ifa.draw.util.PaletteLayout,Module,CH.ifa.draw.util.PaletteLayout,PaletteLayout,#cccccc,hidden,
CH.ifa.draw.figures.AttributeFigure,Module,CH.ifa.draw.figures.AttributeFigure,AttributeFigure,#cccccc,transit,
CH.ifa.draw.framework.DrawingEditor,Module,CH.ifa.draw.framework.DrawingEditor,DrawingEditor,#cccccc,inbound,
CH.ifa.draw.samples.pert.PertFigure,Module,CH.ifa.draw.samples.pert.PertFigure,PertFigure,#cccccc,outbound,
CH.ifa.draw.framework.HJDError,Module,CH.ifa.draw.framework.HJDError,HJDError,#cccccc,,
CH.ifa.draw.standard.AlignCommand,Module,CH.ifa.draw.standard.AlignCommand,AlignCommand,#cccccc,outbound,
CH.ifa.draw.standard.AbstractHandle,Module,CH.ifa.draw.standard.AbstractHandle,AbstractHandle,#cccccc,transit,
CH.ifa.draw.figures.NumberTextFigure,Module,CH.ifa.draw.figures.NumberTextFigure,NumberTextFigure,#cccccc,inbound,
CH.ifa.draw.standard.SouthEastHandle,Module,CH.ifa.draw.standard.SouthEastHandle,SouthEastHandle,#cccccc,hidden,
CH.ifa.draw.standard.RelativeLocator,Module,CH.ifa.draw.standard.RelativeLocator,RelativeLocator,#cccccc,transit,
CH.ifa.draw.standard.DeleteCommand,Module,CH.ifa.draw.standard.DeleteCommand,DeleteCommand,#cccccc,outbound,
CH.ifa.draw.figures.PolyLineFigure,Module,CH.ifa.draw.figures.PolyLineFigure,PolyLineFigure,#cccccc,transit,
CH.ifa.draw.standard.StandardDrawing,Module,CH.ifa.draw.standard.StandardDrawing,StandardDrawing,#cccccc,transit,
CH.ifa.draw.framework.DrawingChangeEvent,Module,CH.ifa.draw.framework.DrawingChangeEvent,DrawingChangeEvent,#cccccc,inbound,
CH.ifa.draw.contrib.ChopPolygonConnector,Module,CH.ifa.draw.contrib.ChopPolygonConnector,ChopPolygonConnector,#cccccc,outbound,
CH.ifa.draw.figures.LineConnection,Module,CH.ifa.draw.figures.LineConnection,LineConnection,#cccccc,outbound,
CH.ifa.draw.application.DrawApplication,Module,CH.ifa.draw.application.DrawApplication,DrawApplication,#cccccc,transit,
CH.ifa.draw.figures.GroupHandle,Module,CH.ifa.draw.figures.GroupHandle,GroupHandle,#cccccc,outbound,
CH.ifa.draw.standard.SendToBackCommand,Module,CH.ifa.draw.standard.SendToBackCommand,SendToBackCommand,#cccccc,outbound,
CH.ifa.draw.standard.NullHandle,Module,CH.ifa.draw.standard.NullHandle,NullHandle,#cccccc,inbound,
CH.ifa.draw.standard.NorthWestHandle,Module,CH.ifa.draw.standard.NorthWestHandle,NorthWestHandle,#cccccc,hidden,
CH.ifa.draw.standard.SimpleUpdateStrategy,Module,CH.ifa.draw.standard.SimpleUpdateStrategy,SimpleUpdateStrategy,#cccccc,outbound,
CH.ifa.draw.standard.ConnectionTool,Module,CH.ifa.draw.standard.ConnectionTool,ConnectionTool,#cccccc,outbound,
CH.ifa.draw.figures.ChopEllipseConnector,Module,CH.ifa.draw.figures.ChopEllipseConnector,ChopEllipseConnector,#cccccc,outbound,
CH.ifa.draw.util.Filler,Module,CH.ifa.draw.util.Filler,Filler,#cccccc,hidden,
CH.ifa.draw.standard.BringToFrontCommand,Module,CH.ifa.draw.standard.BringToFrontCommand,BringToFrontCommand,#cccccc,outbound,
CH.ifa.draw.standard.BoxHandleKit,Module,CH.ifa.draw.standard.BoxHandleKit,BoxHandleKit,#cccccc,inbound,
CH.ifa.draw.contrib.PolygonHandle,Module,CH.ifa.draw.contrib.PolygonHandle,PolygonHandle,#cccccc,outbound,
CH.ifa.draw.standard.StandardDrawingView,Module,CH.ifa.draw.standard.StandardDrawingView,StandardDrawingView,#cccccc,transit,
CH.ifa.draw.framework.Connector,Module,CH.ifa.draw.framework.Connector,Connector,#cccccc,inbound,
CH.ifa.draw.framework.DrawingView,Module,CH.ifa.draw.framework.DrawingView,DrawingView,#cccccc,inbound,
CH.ifa.draw.standard.NorthEastHandle,Module,CH.ifa.draw.standard.NorthEastHandle,NorthEastHandle,#cccccc,outbound,
CH.ifa.draw.framework.PointConstrainer,Module,CH.ifa.draw.framework.PointConstrainer,PointConstrainer,#cccccc,inbound,
CH.ifa.draw.util.PaletteIcon,Module,CH.ifa.draw.util.PaletteIcon,PaletteIcon,#cccccc,inbound,
CH.ifa.draw.figures.GroupCommand,Module,CH.ifa.draw.figures.GroupCommand,GroupCommand,#cccccc,outbound,
CH.ifa.draw.standard.CopyCommand,Module,CH.ifa.draw.standard.CopyCommand,CopyCommand,#cccccc,outbound,
CH.ifa.draw.samples.javadraw.PatternPainter,Module,CH.ifa.draw.samples.javadraw.PatternPainter,PatternPainter,#cccccc,outbound,
CH.ifa.draw.util.Iconkit,Module,CH.ifa.draw.util.Iconkit,Iconkit,#cccccc,inbound,
CH.ifa.draw.standard.DuplicateCommand,Module,CH.ifa.draw.standard.DuplicateCommand,DuplicateCommand,#cccccc,outbound,
CH.ifa.draw.standard.SelectAreaTracker,Module,CH.ifa.draw.standard.SelectAreaTracker,SelectAreaTracker,#cccccc,outbound,
CH.ifa.draw.figures.TextTool,Module,CH.ifa.draw.figures.TextTool,TextTool,#cccccc,outbound,
CH.ifa.draw.standard.FigureTransferCommand,Module,CH.ifa.draw.standard.FigureTransferCommand,FigureTransferCommand,#cccccc,outbound,
CH.ifa.draw.figures.UngroupCommand,Module,CH.ifa.draw.figures.UngroupCommand,UngroupCommand,#cccccc,outbound,
CH.ifa.draw.figures.BorderTool,Module,CH.ifa.draw.figures.BorderTool,BorderTool,#cccccc,outbound,
CH.ifa.draw.standard.CreationTool,Module,CH.ifa.draw.standard.CreationTool,CreationTool,#cccccc,transit,
CH.ifa.draw.framework.FigureChangeEvent,Module,CH.ifa.draw.framework.FigureChangeEvent,FigureChangeEvent,#cccccc,,
CH.ifa.draw.samples.javadraw.URLTool,Module,CH.ifa.draw.samples.javadraw.URLTool,URLTool,#cccccc,outbound,
CH.ifa.draw.figures.ElbowHandle,Module,CH.ifa.draw.figures.ElbowHandle,ElbowHandle,#cccccc,outbound,
CH.ifa.draw.standard.FigureEnumerator,Module,CH.ifa.draw.standard.FigureEnumerator,FigureEnumerator,#cccccc,,
CH.ifa.draw.figures.TextFigure,Module,CH.ifa.draw.figures.TextFigure,TextFigure,#cccccc,transit,
CH.ifa.draw.standard.AbstractTool,Module,CH.ifa.draw.standard.AbstractTool,AbstractTool,#cccccc,transit,
CH.ifa.draw.standard.NorthHandle,Module,CH.ifa.draw.standard.NorthHandle,NorthHandle,#cccccc,outbound,
CH.ifa.draw.util.CommandChoice,Module,CH.ifa.draw.util.CommandChoice,CommandChoice,#cccccc,inbound,
CH.ifa.draw.standard.CompositeFigure,Module,CH.ifa.draw.standard.CompositeFigure,CompositeFigure,#cccccc,transit,
CH.ifa.draw.framework.FigureEnumeration,Module,CH.ifa.draw.framework.FigureEnumeration,FigureEnumeration,#cccccc,inbound,
CH.ifa.draw.util.CommandMenu,Module,CH.ifa.draw.util.CommandMenu,CommandMenu,#cccccc,inbound,
CH.ifa.draw.standard.BufferedUpdateStrategy,Module,CH.ifa.draw.standard.BufferedUpdateStrategy,BufferedUpdateStrategy,#cccccc,outbound,
CH.ifa.draw.framework.Handle,Module,CH.ifa.draw.framework.Handle,Handle,#cccccc,inbound,
CH.ifa.draw.figures.FigureAttributes,Module,CH.ifa.draw.figures.FigureAttributes,FigureAttributes,#cccccc,outbound,
CH.ifa.draw.standard.ChangeConnectionHandle,Module,CH.ifa.draw.standard.ChangeConnectionHandle,ChangeConnectionHandle,#cccccc,outbound,
CH.ifa.draw.samples.javadraw.AnimationDecorator,Module,CH.ifa.draw.samples.javadraw.AnimationDecorator,AnimationDecorator,#cccccc,outbound,
CH.ifa.draw.standard.GridConstrainer,Module,CH.ifa.draw.standard.GridConstrainer,GridConstrainer,#cccccc,,
CH.ifa.draw.figures.ConnectedTextTool,Module,CH.ifa.draw.figures.ConnectedTextTool,ConnectedTextTool,#cccccc,outbound,
CH.ifa.draw.contrib.TriangleRotationHandle,Module,CH.ifa.draw.contrib.TriangleRotationHandle,TriangleRotationHandle,#cccccc,outbound,
CH.ifa.draw.standard.ReverseFigureEnumerator,Module,CH.ifa.draw.standard.ReverseFigureEnumerator,ReverseFigureEnumerator,#cccccc,outbound,
CH.ifa.draw.standard.ActionTool,Module,CH.ifa.draw.standard.ActionTool,ActionTool,#cccccc,inbound,
CH.ifa.draw.samples.javadraw.JavaDrawViewer,Module,CH.ifa.draw.samples.javadraw.JavaDrawViewer,JavaDrawViewer,#cccccc,outbound,
CH.ifa.draw.util.Storable,Module,CH.ifa.draw.util.Storable,Storable,#cccccc,,
CH.ifa.draw.figures.RadiusHandle,Module,CH.ifa.draw.figures.RadiusHandle,RadiusHandle,#cccccc,outbound,
CH.ifa.draw.standard.DragTracker,Module,CH.ifa.draw.standard.DragTracker,DragTracker,#cccccc,outbound,
CH.ifa.draw.util.Clipboard,Module,CH.ifa.draw.util.Clipboard,Clipboard,#cccccc,inbound,
CH.ifa.draw.standard.SouthHandle,Module,CH.ifa.draw.standard.SouthHandle,SouthHandle,#cccccc,outbound,
CH.ifa.draw.standard.ToolButton,Module,CH.ifa.draw.standard.ToolButton,ToolButton,#cccccc,transit,
CH.ifa.draw.standard.CutCommand,Module,CH.ifa.draw.standard.CutCommand,CutCommand,#cccccc,outbound,
CH.ifa.draw.standard.EastHandle,Module,CH.ifa.draw.standard.EastHandle,EastHandle,#cccccc,hidden,
CH.ifa.draw.samples.javadraw.JavaDrawApplet,Module,CH.ifa.draw.samples.javadraw.JavaDrawApplet,JavaDrawApplet,#cccccc,outbound,
CH.ifa.draw.standard.LocatorConnector,Module,CH.ifa.draw.standard.LocatorConnector,LocatorConnector,#cccccc,outbound,
CH.ifa.draw.samples.javadraw.JavaDrawApp,Module,CH.ifa.draw.samples.javadraw.JavaDrawApp,JavaDrawApp,#cccccc,outbound,
CH.ifa.draw.standard.ChangeAttributeCommand,Module,CH.ifa.draw.standard.ChangeAttributeCommand,ChangeAttributeCommand,#cccccc,outbound,
CH.ifa.draw.figures.EllipseFigure,Module,CH.ifa.draw.figures.EllipseFigure,EllipseFigure,#cccccc,outbound,
CH.ifa.draw.standard.ToggleGridCommand,Module,CH.ifa.draw.standard.ToggleGridCommand,ToggleGridCommand,#cccccc,outbound,
CH.ifa.draw.framework.Tool,Module,CH.ifa.draw.framework.Tool,Tool,#cccccc,inbound,
CH.ifa.draw.samples.javadraw.FollowURLTool,Module,CH.ifa.draw.samples.javadraw.FollowURLTool,FollowURLTool,#cccccc,outbound,
CH.ifa.draw.standard.AbstractFigure,Module,CH.ifa.draw.standard.AbstractFigure,AbstractFigure,#cccccc,transit,
CH.ifa.draw.figures.FontSizeHandle,Module,CH.ifa.draw.figures.FontSizeHandle,FontSizeHandle,#cccccc,outbound,
CH.ifa.draw.samples.javadraw.Animator,Module,CH.ifa.draw.samples.javadraw.Animator,Animator,#cccccc,outbound,
CH.ifa.draw.util.FloatingTextField,Module,CH.ifa.draw.util.FloatingTextField,FloatingTextField,#cccccc,inbound,
CH.ifa.draw.contrib.PolygonScaleHandle,Module,CH.ifa.draw.contrib.PolygonScaleHandle,PolygonScaleHandle,#cccccc,outbound,
CH.ifa.draw.standard.DecoratorFigure,Module,CH.ifa.draw.standard.DecoratorFigure,DecoratorFigure,#cccccc,transit,
CH.ifa.draw.samples.nothing.NothingApp,Module,CH.ifa.draw.samples.nothing.NothingApp,NothingApp,#cccccc,outbound,
CH.ifa.draw.figures.PolyLineLocator,Module,CH.ifa.draw.figures.PolyLineLocator,PolyLineLocator,#cccccc,outbound,
CH.ifa.draw.contrib.PolygonTool,Module,CH.ifa.draw.contrib.PolygonTool,PolygonTool,#cccccc,outbound,
CH.ifa.draw.figures.ElbowConnection,Module,CH.ifa.draw.figures.ElbowConnection,ElbowConnection,#cccccc,hidden,
CH.ifa.draw.standard.SouthWestHandle,Module,CH.ifa.draw.standard.SouthWestHandle,SouthWestHandle,#cccccc,outbound,
CH.ifa.draw.util.ColorEntry,Module,CH.ifa.draw.util.ColorEntry,ColorEntry,#cccccc,,
CH.ifa.draw.samples.net.NodeFigure,Module,CH.ifa.draw.samples.net.NodeFigure,NodeFigure,#cccccc,outbound,
CH.ifa.draw.framework.Drawing,Module,CH.ifa.draw.framework.Drawing,Drawing,#cccccc,inbound,
CH.ifa.draw.standard.HandleTracker,Module,CH.ifa.draw.standard.HandleTracker,HandleTracker,#cccccc,outbound,
CH.ifa.draw.figures.ImageFigure,Module,CH.ifa.draw.figures.ImageFigure,ImageFigure,#cccccc,outbound,
CH.ifa.draw.samples.pert.PertFigureCreationTool,Module,CH.ifa.draw.samples.pert.PertFigureCreationTool,PertFigureCreationTool,#cccccc,outbound,
CH.ifa.draw.figures.LineFigure,Module,CH.ifa.draw.figures.LineFigure,LineFigure,#cccccc,hidden,
CH.ifa.draw.samples.pert.PertApplication,Module,CH.ifa.draw.samples.pert.PertApplication,PertApplication,#cccccc,outbound,
CH.ifa.draw.contrib.PolygonFigure,Module,CH.ifa.draw.contrib.PolygonFigure,PolygonFigure,#cccccc,outbound,
CH.ifa.draw.standard.ConnectionHandle,Module,CH.ifa.draw.standard.ConnectionHandle,ConnectionHandle,#cccccc,outbound,
CH.ifa.draw.framework.FigureSelection,Module,CH.ifa.draw.framework.FigureSelection,FigureSelection,#cccccc,outbound,
CH.ifa.draw.framework.Painter,Module,CH.ifa.draw.framework.Painter,Painter,#cccccc,inbound,
